Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
609,Niccolò Zanellato\Niccolo-Zanellato,it ITA,MF,Crotone,22,1998,18.2,29,21,17,11,1,9,31,29,22,257,76,29.6,87,136,34,20,5,0,15,12,41,17,1
610,Cristián Zapata\Cristian-Zapata,co COL,DF,Genoa,33,1986,10.8,24,16,17,6,1,12,15,80,3,102,34,33.3,58,42,2,21,14,1,7,16,40,66,2
611,Duván Zapata\Duvan-Zapata,co COL,FW,Atalanta,29,1991,26.4,8,6,3,3,2,2,9,22.2,7,233,65,27.9,17,72,144,23,6,0,17,10,18,18,0
612,Gabriele Zappa\Gabriele-Zappa,it ITA,DF,Cagliari,20,1999,26.6,45,23,19,25,1,24,56,42.9,32,444,110,24.8,196,180,68,57,5,1,52,26,71,53,2
613,Davide Zappacosta\Davide-Zappacosta,it ITA,DF,Genoa,28,1992,22.7,34,19,18,12,4,14,27,51.9,13,366,87,23.8,140,143,83,23,1,0,22,16,50,44,0
614,Simone Zaza\Simone-Zaza,it ITA,FW,Torino,29,1991,16.6,14,8,3,7,4,2,14,14.3,12,238,58,24.4,20,85,133,15,2,0,13,5,19,6,0
615,Marvin Zeegelaar\Marvin-Zeegelaar,nl NED,DF,Udinese,29,1990,19.3,40,26,25,15,0,22,37,59.5,15,271,78,28.8,121,113,37,35,9,0,26,14,54,40,0
616,Piotr Zieliński\Piotr-Zielinski,pl POL,MF,Napoli,26,1994,28,24,15,10,10,4,5,17,29.4,12,279,84,30.1,55,126,98,22,4,0,18,20,44,11,0
617,Joshua Zirkzee\Joshua-Zirkzee,nl NED,FWMF,Parma,19,2001,1.3,3,2,1,2,0,2,5,40,3,21,10,47.6,3,10,8,0,0,0,0,0,3,1,0
618,Jeroen Zoet\Jeroen-Zoet,nl NED,GK,Spezia,29,1991,6.7,0,0,0,0,0,0,1,0,1,3,1,33.3,3,0,0,0,0,0,0,0,0,0,0
619,Filip Đuričić\Filip-Djuricic,rs SRB,MFFW,Sassuolo,28,1992,23.1,34,22,9,16,9,10,27,37,17,401,115,28.7,56,168,177,23,1,0,22,8,42,16,0
